n,n_cusps,n_negF3,max_pstar,min_pstar,min_F3,E_half,min_E_minus_Ehalf,argmin_i,argmin_j,median_slope_jump,min_slope_jump,n_double_cusps,n_iv
4,1,0,0.6000000000000002,0.6000000000000002,1.199999999999994,2.8124999999999982,0.043499999999998984,2,3,1.439999999999999,1.439999999999999,0,0
5,1,0,0.5857864376269049,0.5857864376269049,1.497474683058329,3.6250000000000044,0.04787270291963841,2,4,2.010101267766694,2.010101267766694,0,0
6,3,0,0.646110632135477,0.5714285714285712,1.285714285714302,4.468750000000005,0.02745744553266949,2,5,1.9781852633643844,1.1995002082465651,3,0
7,2,0,0.6250000000000003,0.5635083268962918,1.609858828985531,5.312500000000004,0.031397980704350736,3,5,1.5250800367312598,1.2016296386718768,0,0
8,2,0,0.6125741132772071,0.5575066659755579,1.939413394150908,6.175781250000009,0.018310360886420796,3,6,1.93664305897941,1.871413951810497,0,0
9,5,0,0.6516685226452118,0.5505102572168218,1.681115275729054,7.039062499999988,0.02268028795174004,4,6,1.8370416465792394,1.045094399999998,4,0
10,3,0,0.6363636363636366,0.5464998904351597,2.025016434726049,7.916015624999994,0.013537291537661034,4,7,1.7169732685004457,1.053775234066462,0,0
11,3,0,0.6259333038510272,0.5432136168629449,2.369753217614086,8.792968750000002,0.016950709714731005,4,8,1.9220503906741786,1.7382348163448005,0,0
12,6,0,0.6548590014996043,0.5390870530553032,2.088151903390852,9.680175781249991,0.010605107360754928,5,8,1.848314386735658,0.9412643229996354,4,0
13,4,0,0.6428571428571418,0.5366707034309919,2.44233625254501,10.567382812499984,0.013340221203005598,5,9,1.769583786613148,0.9500527904071747,0,0
14,4,0,0.633974596215561,0.5337374181795531,2.136551346183897,11.462646484375023,0.008627684470967623,6,9,1.912338681813611,1.6242185275287258,0,0
15,5,0,0.6569296691827466,0.5318832814189761,2.500267910453232,12.35791015625,0.010898590581859935,6,10,1.6500644066094623,0.8641727333724711,0,0
16,5,0,0.6470588235294124,0.5302697288653913,2.860739777536018,13.259719848632821,0.007123637951458761,6,11,1.8690253166211135,0.8720263004457447,0,0
17,5,0,0.6393550902672762,0.5282190511759521,2.547455510237963,14.16152954101566,0.00914407788804894,7,11,1.8991204555081738,1.5277874103713487,0,0
18,5,0,0.6315789473684205,0.5269237573671123,2.915053919583439,15.06879425048829,0.005965100397530065,7,12,1.8128944432614973,0.803707185436464,0,0
19,7,0,0.6499999999999999,0.5253198925530004,2.586583286282753,15.976058959960977,0.007827276900492564,8,12,1.8238882257817748,0.8105546654238747,2,0
20,7,0,0.6432108276746694,0.524256334947217,2.961072332725463,16.887960433959975,0.005109605318263988,8,13,1.8403471532197322,1.3503613953904026,2,0
21,7,0,0.6363636363636371,0.5229666261296879,2.619529794679412,17.79986190795899,0.006803782824349014,8,14,1.8067125280165641,0.7545334075221225,2,0
22,8,0,0.6521739130434776,0.5220772733466421,3.000499523085605,18.71576786041257,0.0044527530022797635,9,14,1.8414521526993912,0.7604965938335817,2,0
23,8,0,0.6461106321354769,0.5212715537940783,3.376399195766979,19.631673812866257,0.005927421992591775,9,15,1.818491080735889,1.2904354705713563,2,0
24,8,0,0.6400000000000007,0.5202621528304895,3.034624950661804,20.55108368396769,0.003933079521068805,10,15,1.8824415076023207,0.7134814201321764,2,0
25,8,0,0.6348304520611898,0.5195734766684905,3.415860248221735,21.47049355506876,0.005233745434548354,10,16,1.8876556440549617,1.3033844392719411,2,0
26,10,0,0.6483712952255929,0.5187259098671686,3.064432768505544,22.393003046512796,0.0035120996979642882,11,16,1.810399681365534,0.6749007037620284,4,0
27,8,0,0.6428571428571419,0.518130300599559,3.450721003912028,23.31551253795642,0.004671983602669627,11,17,1.8779420585490487,0.6785166997230434,0,0
28,9,0,0.6381087995563126,0.517408295509984,3.090683108861054,24.240789547562727,0.0031644960469634498,12,17,1.9141557264374813,1.2503815422173115,2,0
29,12,0,0.6501833962866341,0.5168879531128547,1.844957698225507,25.166066557168776,0.004208456192845489,12,18,1.77000819318136,0.02672716072206003,4,0
30,9,0,0.6451612903225801,0.5164059774084003,3.867571854155525,26.093834333121634,0.0028667363668546386,12,19,1.8245665476030348,0.6482597865041949,0,0
31,10,0,0.640774297068809,0.5158067985367564,3.50945151338817,27.02160210907449,0.0038199767540092466,13,19,1.9063059774053996,1.2032423437616833,2,0
32,13,0,0.6516685226452114,0.5153802504161723,3.899431320806801,27.951627142028627,0.00259543308316168,13,20,1.8328041799743588,0.6186603404749983,6,0
33,12,0,0.6470588235294115,0.5148570810849311,3.534397830850093,28.881652174983287,0.003490078382071715,14,20,1.8573267549738979,0.6217355578321079,4,0
34,11,1,0.6429842500210394,0.5144768492874832,-1.920581762789038,29.8137352952036,0.002367431367801487,14,21,1.8514157178385513,0.05804395278484106,0,0
35,13,0,0.6391997189454,0.5140160035662051,3.556952635786431,30.74581841542394,0.0032067526245285194,15,21,1.863191083029713,0.5953988592908238,6,0
36,13,0,0.6486486486486479,0.5136748835435591,3.954547353480535,31.679788115638015,0.00217327100230591,15,22,1.8968815314828815,0.598231574625656,4,0
37,11,0,0.6448463329254381,0.5132657914410157,3.577440150992317,32.613757815852296,0.0029610408629210383,16,22,1.898568083527934,1.1228278828689655,0,0
38,13,0,0.641295120206894,0.5129580082807489,3.978528175887089,33.54946515553439,0.0020060364873444314,16,23,1.9021727596811506,0.5745995187149334,4,0
39,13,0,0.6500000000000027,0.5126680729528771,4.374544754780953,34.48517249521673,0.0027412340057395568,16,24,1.8165700305646142,0.5772131039191756,2,0
40,13,0,0.646436743620677,0.5123132415692279,4.000512594469271,35.42248715140683,0.0018605634136861227,17,24,1.880913998629923,1.0444129410682739,0,0
41,15,1,0.6430929500594815,0.5120496190132826,-1.086538992000747,36.35980180759683,0.0025406484200658497,17,25,1.8423735790992692,0.02116625263703309,4,0
42,15,0,0.6511627906976748,0.5117301353677397,4.020736333400144,37.298608971973806,0.0017329215363517392,18,25,1.8597918140783511,0.5582696671609175,4,0
43,14,0,0.6478109280379625,0.5114893765193061,4.422933486558382,38.23741613634978,0.002364675929243276,18,26,1.8632220836532856,1.0160377669577643,2,0
44,15,0,0.6444444444444413,0.5112001817806524,4.039400123847056,39.17761404698996,0.001620069201187846,19,26,1.8756655261526816,0.5388390177626854,2,0
45,16,0,0.6521739130434787,0.5109794187289906,4.444461789656891,40.11781195763043,0.0022091538832427204,19,27,1.8768119371724103,0.5410800940103165,4,0
46,17,0,0.6490101977386067,0.5107163798030795,4.056675795609081,41.05930991369062,0.001519616877203589,20,27,1.8434537047566821,0.5214761883581781,2,0
47,16,1,0.6458333333333334,0.510513207651394,-7.452122697536932,42.00080786975201,0.0020707976375717863,20,28,1.86627469948518,0.06311502829329135,4,0
48,16,0,0.6429219626881166,0.5102729138589361,4.072711185998422,42.94352461839556,0.0014296619203904015,21,28,1.899241359305618,0.9965535596198662,4,0
49,18,0,0.6500659659310715,0.5100853004288612,4.48308315582123,43.88624136703834,0.0019469827784703853,21,29,1.841394054786751,0.5073221352550915,6,0
50,18,0,0.6470588235294139,0.5098649116987092,4.087634110615134,44.83010378071038,0.0013480910435461624,21,30,1.8468410445902648,0.5090475779366732,6,0
51,16,0,0.6442889758710173,0.5096911276746832,4.500466507430897,45.773966194379625,0.0018355885451128984,22,30,1.8898458806791303,0.971990986694647,2,0
52,19,0,0.6510025456503747,0.5095250905875824,4.908490181777076,46.718908177019024,0.0012689440381592476,22,31,1.8389808600778377,0.4942705861073731,4,0
53,20,0,0.6481481481481473,0.5093268238836868,4.516728408978565,47.663850159657535,0.0017348834453159157,23,31,1.8721332228924499,0.4958993811615134,8,0
54,16,0,0.6455070958178998,0.5091723510650961,4.927066866118029,48.60981173520822,0.0011978242762822333,23,32,1.8764446182405436,0.9491522033852249,0,0
55,21,0,0.6518390491874804,0.5089890961048434,4.53197285219305,49.555773310761445,0.001643440467155699,24,32,1.8192858570424995,0.4821841808652748,8,0
56,20,0,0.6491228070175443,0.5088450141578733,4.944524680113823,50.50269985817952,0.00113359168823024,24,33,1.8771163987313892,0.4837233209132616,4,0
57,17,0,0.646599400197302,0.5086751211182468,4.546291529733438,51.44962640559763,0.001560073387750549,25,33,1.8833466693041634,0.9278453243644766,0,0
58,22,0,0.6525907085389158,0.5085404109465341,4.96096034500113,52.39746801254024,0.0010753095760023257,25,34,1.8427330177143029,0.470948614415705,8,0
59,21,1,0.6500000000000011,0.5083824641156233,-6.67847634690682,53.345309619485896,0.0014837883299634314,26,34,1.868863423933008,0.01723392531045329,4,0
60,19,0,0.6475844303464924,0.508256236253609,4.976459952696022,54.2940205329837,0.0010222018183512205,26,35,1.893377236026034,0.9079069965755534,2,0
61,24,0,0.6532698128757933,0.5081090137904762,4.572466989561569,55.24273144647729,0.001413746506806035,27,35,1.8858155140742991,0.4604678388115692,10,0
62,21,0,0.6507936507936503,0.5079904883403852,4.991100349884558,56.19226960330302,0.0009736202972234764,27,36,1.8769761957769844,0.46184734933109584,4,0
63,21,0,0.6484772539752238,0.5078763745638786,5.405359064894483,57.141807760129566,0.001346536439150725,27,37,1.8580880988122543,0.86458991927769,2,0
64,24,1,0.6461538461538497,0.5077414202816485,-14.73664105725453,58.09213438325808,0.0009290198442002406,28,37,1.9000698816671007,0.010702706289957517,9,0
65,22,0,0.6515151515151482,0.5076339479760397,5.421065352873846,59.04246100638333,0.001284153114262665,28,38,1.853963300273644,0.4519690979925965,4,0
66,22,0,0.6492902424254597,0.5075075004493782,5.018071589219424,59.99354025643157,0.0008879387810907247,29,38,1.8599382736330639,0.8482996973676097,4,0
67,23,0,0.6470588235294124,0.5074061036955438,5.435971025834583,60.94461950647676,0.001226698821227501,29,39,1.8724859896832877,0.44145688762751123,6,0
68,21,0,0.6449607771919598,0.5072873801654938,5.030519700824314,61.89641817932061,0.0008499836647501979,30,39,1.8648316366274218,0.8525627347594584,2,0
69,26,1,0.6500336481221741,0.5071915558346591,-15.89264446127034,62.84821685216269,0.0011736274131379787,30,40,1.8624509752090068,0.0545081661344823,8,0
70,26,1,0.6478873239436594,0.5070798670439786,-12.94616134440448,63.80070411539086,0.0008148172220501237,31,40,1.8678493694517706,0.02976549419189192,4,0
71,22,0,0.6458640874863225,0.5069891662888933,5.463610799094461,64.7531913786203,0.0011244694476602035,31,41,1.8723952434274693,0.8369928880386712,0,0
72,28,1,0.650716039690132,0.5068839028831522,-16.55540826003116,65.70633854097363,0.0007821487433545826,32,41,1.8778625389351773,0.047444353024322566,8,0
73,26,0,0.6486486486486462,0.5067979239818268,5.476446764483789,66.65948570332596,0.0010788193334292373,32,42,1.891722241269232,0.4246300071904262,6,0
74,22,0,0.6466952015603722,0.5066985452233584,5.064302604763689,67.61326601213287,0.0007517263575778088,33,42,1.8970849815771058,0.8222453375185662,0,0
75,29,0,0.6513446340596901,0.506616927530056,5.488687017199723,68.56704632093785,0.0010363249428309018,33,43,1.8864862438987857,0.415912083370512,8,0
76,26,0,0.6493506493506576,0.5065229518773317,5.074513738577203,69.52143478357624,0.000723149766272968,33,44,1.8601244269351431,0.41690976818344194,4,0
77,24,0,0.6474624437855439,0.5064453706852642,5.500371726678637,70.47582324621402,0.0009966791784279394,34,44,1.8981512284210877,0.8082501795702239,2,0
78,32,1,0.6519255529380832,0.5063701545162619,-21.67770814581028,71.43079647215279,0.0006948186789372812,34,45,1.8396759301101975,0.06571126891659096,12,0
